temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,latitude,longitude
29.0,34.0,24.5,77.17,0.0,0,,0.0,0.0,,4.2,191.0,1010.1,91.2,3.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.91231642,101.6579478
29.0,34.0,24.5,76.93,0.0,0,,0.0,0.0,,3.9,201.0,1010.2,91.8,3.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.922506027,101.6431294
29.0,34.0,24.6,77.22,0.0,0,,0.0,0.0,,4.2,189.0,1010.1,91.1,3.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.93553339,101.7371698
28.0,32.3,24.5,81.51,0.0,0,,0.0,0.0,,6.6,24.0,,93.1,2.9,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.949923904,101.637069
28.0,32.2,24.3,80.35,0.0,0,,0.0,0.0,,6.0,62.0,,90.9,3.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.903529733,101.6612493
27.6,31.4,24.4,82.86,0.0,0,,0.0,0.0,,2.4,69.0,1011.5,91.1,2.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.928514231,101.72064
27.4,31.2,24.6,84.48,0.0,0,,0.0,0.0,,2.8,31.0,1011.6,93.2,1.9,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.970783341,101.6744587
27.0,30.3,24.4,85.58,0.0,0,,0.0,0.0,,5.1,297.0,,91.5,2.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.951176457,101.7465264
27.0,30.3,24.4,85.93,0.0,0,,0.0,0.0,,5.4,299.0,,92.1,2.1,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.955301618,101.7039608
26.7,29.9,25.0,90.47,0.0,0,,0.0,0.0,,2.9,341.0,,91.0,2.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.9086064,101.6668225
